key,english,category,flagged_term,removed_from,leaked_token,hi,corrected_hi,bn,corrected_bn,mr,corrected_mr,kn,corrected_kn,ta,corrected_ta,te,corrected_te
dashCanFocusLearningDischarge,"You can focus on learning, discharge changes and kits here! Docsy helps guide you.",anatomy / clinical,discharge,,,"आप यहां सीखने, डिस्चार्ज परिवर्तनों और किट पर ध्यान केंद्रित कर सकते हैं! डॉक्सी आपको मार्गदर्शन करने में मदद करता है।",,"আপনি এখানে শেখার, স্রাবের পরিবর্তন এবং কিটগুলিতে মনোনিবেশ করতে পারেন! ডকসি আপনাকে গাইড করতে সহায়তা করে ।",,"आपण येथे शिकण्यावर, डिस्चार्ज बदलांवर आणि किट्सवर लक्ष केंद्रित करू शकता! डॉक्युमेंट्री तुम्हाला मार्गदर्शन करते.",,ಡೊಸಿ ನಿಮಗೆ ಮಾರ್ಗದರ್ಶನ ನೀಡುತ್ತಾಳೆ.,,டாக்ஸி உங்களுக்கு வழிகாட்டியாக இருக்கிறார்.,,డాక్సీ మీకు మార్గనిర్దేశమిస్తుంది.,
fpsCrampRescue,Cramp Rescue →,anatomy / clinical,cramp,,,ऐंठन से बचाव →,,ক্র্যাম্প রেসকিউ →,,(not translated),,ಕ್ರಾಮ್‌ಪ್ಯಾ,,க்ரம்ப் - ரைட்,,క్రామ్‌ప్‌ ఫెర్నాన్‌,
oAreYouCurrentlyUsing,Are you currently using hormonal contraception?,anatomy / clinical,hormonal,,,क्या आप अभी हार्मोनल गर्भनिरोधक ले रही हैं?,,আপনি কি বর্তমানে হরমোনাল জন্মনিয়ন্ত্রণ নিচ্ছেন?,,तुम्ही सध्या हार्मोनल गर्भनिरोधक घेत आहात का?,,ನೀವು ಈಗ ಹಾರ್ಮೋನ್ ಗರ್ಭನಿರೋಧಕ ಬಳಸುತ್ತಿದ್ದೀರಾ?,,நீங்கள் தற்போது ஹார்மோன் கருத்தடை பயன்படுத்துகிறீர்களா?,,మీరు ప్రస్తుతం హార్మోన్ల గర్భనిరోధకం వాడుతున్నారా?,
sqAreYouUsingHormonal,Are you using hormonal contraception?,anatomy / clinical,hormonal,,,क्या आप हार्मोनल गर्भनिरोधक ले रही हैं?,,আপনি কি হরমোনাল জন্মনিয়ন্ত্রণ নিচ্ছেন?,,तुम्ही हार्मोनल गर्भनिरोधक घेत आहात का?,,ನೀವು ಹಾರ್ಮೋನ್ ಗರ್ಭನಿರೋಧಕ ಬಳಸುತ್ತಿದ್ದೀರಾ?,,நீங்கள் ஹார்மோன் கருத்தடை பயன்படுத்துகிறீர்களா?,,మీరు హార్మోన్ల గర్భనిరోధకం వాడుతున్నారా?,
sqWhichHormonalConditionS,Which hormonal condition(s) apply to you?,anatomy / clinical,hormonal,,,कौन सी हार्मोनल स्थिति आप पर लागू होती है?,,কোন হরমোনাল অবস্থা আপনার ক্ষেত্রে প্রযোজ্য?,,कोणती हार्मोनल स्थिती तुम्हाला लागू होते?,,ಯಾವ ಹಾರ್ಮೋನ್ ಸ್ಥಿತಿ ನಿಮಗೆ ಅನ್ವಯಿಸುತ್ತದೆ?,,எந்த ஹார்மோன் நிலை உங்களுக்குப் பொருந்தும்?,,ఏ హార్మోన్ల పరిస్థితి మీకు వర్తిస్తుంది?,
dashHormonalRhythmTracker,Hormonal Rhythm Tracker,anatomy / clinical + mt defect,hormonal,kn ta te,Query Rythm,हार्मोनल रिदम ट्रैकर,,হরমোনাল রিদম ট্র্যাকার,,हार्मोनल ताल ट्रॅकर,,(not translated),,(not translated),,(not translated),
fpsCrampRescue2,Cramp Rescue,anatomy / clinical + mt defect,cramp,kn te,Name,ऐंठन से बचाव,,ক্র্যাম্প রেসকিউ,,(not translated),,(not translated),,கிராம்பி காப்பகம்,,(not translated),
cYourCycleLengthIs,Your cycle length is varying. Log your symptoms daily so Docsy can adjust predictions.,cycle,cycle,,,आपके चक्र की अवधि बदल रही है। रोज़ अपने लक्षण दर्ज करें ताकि Docsy अनुमान सुधार सके।,,আপনার চক্রের দৈর্ঘ্য বদলাচ্ছে। প্রতিদিন উপসর্গ নথিভুক্ত করুন যাতে Docsy পূর্বাভাস ঠিক করতে পারে।,,तुमच्या चक्राची लांबी बदलत आहे. रोज तुमची लक्षणे नोंदवा जेणेकरून Docsy अंदाज सुधारू शकेल.,,"ನಿಮ್ಮ ಚಕ್ರದ ಉದ್ದ ಬದಲಾಗುತ್ತಿದೆ. ಪ್ರತಿದಿನ ಲಕ್ಷಣಗಳನ್ನು ದಾಖಲಿಸಿ, Docsy ಮುನ್ಸೂಚನೆಗಳನ್ನು ಸರಿಪಡಿಸುತ್ತದೆ.",,"உங்கள் சுழற்சியின் நீளம் மாறுகிறது. தினமும் அறிகுறிகளைப் பதிவு செய்யுங்கள், Docsy கணிப்புகளைச் சரிசெய்யும்.",,"మీ చక్రం నిడివి మారుతోంది. ప్రతిరోజూ లక్షణాలను నమోదు చేయండి, Docsy అంచనాలను సరిచేస్తుంది.",
cpEGLutealMoodswings,"e.g., Luteal, MoodSwings, SleepTips",cycle,luteal,,,"जैसे, ल्यूटियल, मूडस्विंग्स, स्लीपटिप्स",,"যেমন, লুটিয়াল, মুডসুইংস, স্লিপটিপস",,"उदा., ल्युटियल, मूडस्विंग्ज, स्लीपटिप्स",,"ಉದಾ., ಲ್ಯೂಟಿಯಲ್, ಮೂಡ್‌ಸ್ವಿಂಗ್ಸ್, ಸ್ಲೀಪ್‌ಟಿಪ್ಸ್",,"எ.கா., லூட்டியல், மூட்ஸ்விங்ஸ், ஸ்லீப்டிப்ஸ்",,"ఉదా., లూటియల్, మూడ్‌స్వింగ్స్, స్లీప్‌టిప్స్",
dashAiGeneratedTrendsAcross,AI-generated trends across multiple cycle logs,cycle,cycle,,,कई साइकिल लॉग में AI - जनरेट किए गए रुझान,,একাধিক চক্র লগ জুড়ে AI-উত্পাদিত প্রবণতা,,बहु - चक्र लॉगमध्ये एआय - व्युत्पन्न ट्रेंड,,ಬಹು ಆವರ್ತನ ಪರಿವರ್ತನಾ ಪುಟಗಳಾದ್ಯಂತ ಐ- ಲಿಪ್ಯಂಶಗಳು,,பல சுழற்சி உருளல் வழியாக II- இயக்கத்தின் போக்குகள்,,బహుళ సైకిల్ రివర్సు అంతటా IA- వైభవాలు,
